product_id,brand,product_name,category,variants_sizes,current_image,external_image_url,source_url,current_display_image_url
53,Farmina,Farmina N&D Chicken & Pomegranate Puppy Dog Food,dog_food,"[{""variant_id"": 139, ""size"": ""800 g""}, {""variant_id"": 140, ""size"": ""2.5 KG""}, {""variant_id"": 141, ""size"": ""12 KG""}]",media/products/product-53-Farmina_ozdi9o,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-53-Farmina_ozdi9o
54,Farmina,Farmina Matisse Premium Adult Dog Food,dog_food,"[{""variant_id"": 142, ""size"": ""1 KG""}, {""variant_id"": 143, ""size"": ""3 KG""}, {""variant_id"": 144, ""size"": ""12 KG""}]",media/products/product-54-Farmina_cbuwgq,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-54-Farmina_cbuwgq
55,Hill's,Hill's Science Diet Adult Small & Mini Dog Food,dog_food,"[{""variant_id"": 145, ""size"": ""1.5 KG""}, {""variant_id"": 146, ""size"": ""3 KG""}]",media/products/product-55-Hill-s_qgjg8b,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-55-Hill-s_qgjg8b
56,Hill's,Hill's Science Diet Puppy Small & Mini Dog Food,dog_food,"[{""variant_id"": 147, ""size"": ""1.5 KG""}, {""variant_id"": 148, ""size"": ""3 KG""}]",media/products/product-56-Hill-s_y6gi4c,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-56-Hill-s_y6gi4c
57,IAMS,IAMS Proactive Health Adult Chicken Dry Dog Food,dog_food,"[{""variant_id"": 149, ""size"": ""1.5 KG""}, {""variant_id"": 150, ""size"": ""3 KG""}, {""variant_id"": 151, ""size"": ""8 KG""}]",media/products/product-57-IAMS_tgkibc,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-57-IAMS_tgkibc
58,IAMS,IAMS Proactive Health Puppy Chicken Dry Dog Food,dog_food,"[{""variant_id"": 152, ""size"": ""1.5 KG""}, {""variant_id"": 153, ""size"": ""3 KG""}, {""variant_id"": 154, ""size"": ""8 KG""}]",media/products/product-58-IAMS_ech40r,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-58-IAMS_ech40r
59,Kennel Kitchen,Kennel Kitchen Chicken & Rice Adult Dry Dog Food,dog_food,"[{""variant_id"": 155, ""size"": ""1 KG""}, {""variant_id"": 156, ""size"": ""3 KG""}, {""variant_id"": 157, ""size"": ""10 KG""}]",media/products/product-59-Kennel-Kitchen_j096i0,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-59-Kennel-Kitchen_j096i0
60,Kennel Kitchen,Kennel Kitchen Chicken & Rice Puppy Dry Dog Food,dog_food,"[{""variant_id"": 158, ""size"": ""1 KG""}, {""variant_id"": 159, ""size"": ""3 KG""}, {""variant_id"": 160, ""size"": ""10 KG""}]",media/products/product-60-Kennel-Kitchen_in9qy1,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-60-Kennel-Kitchen_in9qy1
61,Bows & Meows,Bows & Meows Chicken Training Treats for Dogs,dog_treat,"[{""variant_id"": 161, ""size"": ""100 g""}, {""variant_id"": 162, ""size"": ""250 g""}]",media/products/product-61-Bows-Meows_eqffjj,,,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-61-Bows-Meows_eqffjj
7078,Let's Bite,Let's Bite Active Adult Chicken and Vegetable Dry Food for Dogs,dog_treat,"[{""variant_id"": 13571, ""size"": ""20kg""}]",media/products/product-7078-Let-s-Bite_chfi6x,,https://supertails.com/products/lets-bite-active-adult-chicken-and-vegetable-dry-food-for-dogs,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-7078-Let-s-Bite_chfi6x
7364,M Pets,M Pets Lines Collar for Cats (Red),dog_grooming,"[{""variant_id"": 14040, ""size"": ""Neck: 20-30cm""}]",media/products/product-7364-M-Pets_d9uixw,,https://supertails.com/products/m-pets-lines-collar-for-cats-red,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-7364-M-Pets_d9uixw
7594,Petstar,Mankind Petstar Ocean Fish Flavour Adult Cat Dry Food,digestive,"[{""variant_id"": 14405, ""size"": ""1kg""}]",media/products/product-7594-Petstar_mmh8e2,,https://supertails.com/products/mankind-petstar-ocean-fish-flavour-adult-cat-wet-food,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-7594-Petstar_mmh8e2
8418,Nutrience,"Nutrience Chicken, Liver and Duck Freeze Dried Cat Treat",dog_treat,"[{""variant_id"": 15744, ""size"": ""30g""}]",media/products/product-8418-Nutrience_zncgo4,,https://supertails.com/products/nutrience-chicken-liver-and-duck-freeze-dried-cat-treat,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-8418-Nutrience_zncgo4
8424,Nutrience,Nutrience Subzero Grain Free Lamb Liver Flavoured Freeze Dried Dog Treats,dog_treat,"[{""variant_id"": 15751, ""size"": ""90g""}]",media/products/product-8424-Nutrience_dz3mf0,,https://supertails.com/products/nutrience-subzero-grain-free-lamb-liver-flavoured-freeze-dried-dog-treats,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-8424-Nutrience_dz3mf0
9544,Pedigree,Pedigree Chicken and Vegetables Adult Dog Dry Food (Limited Stocks),supplement,"[{""variant_id"": 19570, ""size"": ""370g""}]",media/products/product-9544-Pedigree_lbu8im,,https://supertails.com/products/pedigree-chicken-vegetables-adult-dry-dog-food-limitedstocks,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-9544-Pedigree_lbu8im
13643,Those Woof Guys,Those Woof Guys Lamb Orghini Home Meal for Dogs,supplement,"[{""variant_id"": 28903, ""size"": ""500g""}, {""variant_id"": 28904, ""size"": ""350g""}, {""variant_id"": 28905, ""size"": ""200g""}]",media/products/product-13643-Those-Woof-Guys_e4oh0e,,https://supertails.com/products/those-woof-guys-lamb-orghini-home-meal-for-dogs,https://res.cloudinary.com/thcjbrcq/image/upload/v1/media/products/product-13643-Those-Woof-Guys_e4oh0e
